order_id,order_date,region,state,product,category,sub_category,customer_name,sales,profit
CA-2016-152156,2016-11-08,South,Kentucky,Bush Somerset Collection Bookcase,Furniture,Bookcases,Claire Gute,261.96,41.9136
CA-2016-152156,2016-11-08,South,Kentucky,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Claire Gute,731.94,219.582
CA-2016-138688,2016-06-12,West,California,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Darrin Van Huff,14.62,6.8714
US-2015-108966,2015-10-11,South,Florida,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Sean O'Donnell,957.5775,-383.031
US-2015-108966,2015-10-11,South,Florida,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Sean O'Donnell,22.368,2.5164
CA-2014-115812,2014-06-09,West,California,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,Brosina Hoffman,48.86,14.1694
CA-2014-115812,2014-06-09,West,California,Newell 322,Office Supplies,Art,Brosina Hoffman,7.28,1.9656
CA-2014-115812,2014-06-09,West,California,Mitel 5320 IP Phone VoIP phone,Technology,Phones,Brosina Hoffman,907.152,90.7152
CA-2014-115812,2014-06-09,West,California,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,Brosina Hoffman,18.504,5.7825
CA-2014-115812,2014-06-09,West,California,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,Brosina Hoffman,114.9,34.47
CA-2014-115812,2014-06-09,West,California,Chromcraft Rectangular Conference Tables,Furniture,Tables,Brosina Hoffman,1706.184,85.3092
CA-2014-115812,2014-06-09,West,California,Konftel 250 Conference phone - Charcoal black,Technology,Phones,Brosina Hoffman,911.424,68.3568
CA-2017-114412,2017-04-15,South,North Carolina,Xerox 1967,Office Supplies,Paper,Andrew Allen,15.552,5.4432
CA-2016-161389,2016-12-05,West,Washington,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,Irene Maddox,407.976,132.5922
US-2015-118983,2015-11-22,Central,Texas,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,Harold Pawlan,68.81,-123.858
US-2015-118983,2015-11-22,Central,Texas,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,Harold Pawlan,2.544,-3.816
CA-2014-105893,2014-11-11,Central,Wisconsin,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,Pete Kriz,665.88,13.3176
CA-2014-167164,2014-05-13,West,Utah,Fellowes Super Stor/Drawer,Office Supplies,Storage,Alejandro Grove,55.5,9.99
CA-2014-143336,2014-08-27,West,California,Newell 341,Office Supplies,Art,Zuschuss Donatelli,8.56,2.4824
CA-2014-143336,2014-08-27,West,California,Cisco SPA 501G IP Phone,Technology,Phones,Zuschuss Donatelli,213.48,16.011
CA-2014-143336,2014-08-27,West,California,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,Zuschuss Donatelli,22.72,7.384
CA-2016-137330,2016-12-09,Central,Nebraska,Newell 318,Office Supplies,Art,Ken Black,19.46,5.0596
CA-2016-137330,2016-12-09,Central,Nebraska,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,Ken Black,60.34,15.6884
US-2017-156909,2017-07-16,East,Pennsylvania,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,Sandra Flanagan,71.372,-1.0196
CA-2015-106320,2015-09-25,West,Utah,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Emily Burns,1044.63,240.2649
CA-2016-121755,2016-01-16,West,California,Wilson Jones Active Use Binders,Office Supplies,Binders,Eric Hoffmann,11.648,4.2224
CA-2016-121755,2016-01-16,West,California,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,Eric Hoffmann,90.57,11.7741
US-2015-150630,2015-09-17,East,Pennsylvania,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,Tracy Blumstein,3083.43,-1665.0522
US-2015-150630,2015-09-17,East,Pennsylvania,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,Tracy Blumstein,9.618,-7.0532
US-2015-150630,2015-09-17,East,Pennsylvania,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,Tracy Blumstein,124.2,15.525
US-2015-150630,2015-09-17,East,Pennsylvania,Poly String Tie Envelopes,Office Supplies,Envelopes,Tracy Blumstein,3.264,1.1016
US-2015-150630,2015-09-17,East,Pennsylvania,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,Tracy Blumstein,86.304,9.7092
US-2015-150630,2015-09-17,East,Pennsylvania,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,Tracy Blumstein,6.858,-5.715
US-2015-150630,2015-09-17,East,Pennsylvania,Lumber Crayons,Office Supplies,Art,Tracy Blumstein,15.76,3.546
CA-2017-107727,2017-10-19,Central,Texas,Easy-staple paper,Office Supplies,Paper,Matt Abelman,29.472,9.9468
CA-2016-117590,2016-12-08,Central,Texas,GE 30524EE4,Technology,Phones,Gene Hale,1097.544,123.4737
CA-2016-117590,2016-12-08,Central,Texas,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,Gene Hale,190.92,-147.963
CA-2015-117415,2015-12-27,Central,Texas,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Steve Nguyen,113.328,35.415
CA-2015-117415,2015-12-27,Central,Texas,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Steve Nguyen,532.3992,-46.9764
CA-2015-117415,2015-12-27,Central,Texas,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,Steve Nguyen,212.058,-15.147
CA-2015-117415,2015-12-27,Central,Texas,Plantronics HL10 Handset Lifter,Technology,Phones,Steve Nguyen,371.168,41.7564
CA-2017-120999,2017-09-10,Central,Illinois,Panasonic Kx-TS550,Technology,Phones,Linda Cazamias,147.168,16.5564
CA-2016-101343,2016-07-17,West,California,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Ruben Ausman,77.88,3.894
CA-2017-139619,2017-09-19,South,Florida,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,Erin Smith,95.616,9.5616
CA-2016-118255,2016-03-11,Central,Minnesota,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,Odella Nelson,45.98,19.7714
CA-2016-118255,2016-03-11,Central,Minnesota,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,Odella Nelson,17.46,8.2062
CA-2014-146703,2014-10-20,Central,Michigan,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,Patrick O'Donnell,211.96,8.4784
CA-2016-169194,2016-06-20,East,Delaware,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,Lena Hernandez,45.0,4.95
CA-2016-169194,2016-06-20,East,Delaware,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,Lena Hernandez,21.8,6.104
CA-2015-115742,2015-04-18,Central,Indiana,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,Darren Powers,38.22,17.9634
CA-2015-115742,2015-04-18,Central,Indiana,Avery 485,Office Supplies,Labels,Darren Powers,75.18,35.3346
CA-2015-115742,2015-04-18,Central,Indiana,Longer-Life Soft White Bulbs,Furniture,Furnishings,Darren Powers,6.16,2.9568
CA-2015-115742,2015-04-18,Central,Indiana,"Global Leather Task Chair, Black",Furniture,Chairs,Darren Powers,89.99,17.0981
CA-2016-105816,2016-12-11,East,New York,Advantus Push Pins,Office Supplies,Fasteners,Janet Molinari,15.26,6.2566
